Date,Price_Nifty50,Open_Nifty50,High_Nifty50,Low_Nifty50,Vol_Nifty50,Change_Nifty50,Price_NiftyBank,Open_NiftyBank,High_NiftyBank,Low_NiftyBank,Vol_NiftyBank,Change_NiftyBank,Price_NiftyFMCG,Open_NiftyFMCG,High_NiftyFMCG,Low_NiftyFMCG,Vol_NiftyFMCG,Change_NiftyFMCG,Price_NiftyIT,Open_NiftyIT,High_NiftyIT,Low_NiftyIT,Vol_NiftyIT,Change_NiftyIT,Price_NiftyMedia,Open_NiftyMedia,High_NiftyMedia,Low_NiftyMedia,Vol_NiftyMedia,Change_NiftyMedia,Price_NiftyMidcap,Open_NiftyMidcap,High_NiftyMidcap,Low_NiftyMidcap,Vol_NiftyMidcap,Change_NiftyMidcap,Price_NiftyPharma,Open_NiftyPharma,High_NiftyPharma,Low_NiftyPharma,Vol_NiftyPharma,Change_NiftyPharma,Price_NiftyPSU,Open_NiftyPSU,High_NiftyPSU,Low_NiftyPSU,Vol_NiftyPSU,Change_NiftyPSU,Price_NiftySmallcap,Open_NiftySmallcap,High_NiftySmallcap,Low_NiftySmallcap,Vol_NiftySmallcap,Change_NiftySmallcap
28-04-2024,"22,475.85","22,475.55","22,794.70","22,348.05",1540000000,0.25%,"48,923.55","48,359.90","49,974.75","48,342.70",1240000000,1.50%,"54,273.90","54,527.15","54,757.35","53,913.30",147560000,-0.05%,"32,908.40","33,640.75","33,792.85","32,690.50",115220000,-2.25%,"1,851.10","1,921.00","1,937.95","1,833.65",1000000,-3.13%,"18,907.70","18,836.25","19,064.05","18,754.35",1000000,0.67%,"19,133.40","19,096.70","19,267.15","18,938.85",103570000,0.73%,"7,528.70","7,432.15","7,685.95","7,364.80",1090000000,2.01%,"15,793.30","15,918.75","15,944.70","15,684.45",1000000,-0.13%
05-05-2024,"22,055.20","22,561.60","22,588.80","21,932.40",1490000000,-1.87%,"47,421.10","49,174.55","49,252.65","47,313.35",1350000000,-3.07%,"55,276.50","54,544.15","56,222.75","54,149.50",240950000,1.85%,"32,935.15","33,041.20","33,525.50","32,786.55",105720000,0.08%,"1,772.40","1,864.05","1,865.05","1,748.65",1000000,-4.25%,"18,423.30","19,023.65","19,025.25","18,081.10",1000000,-2.56%,"18,609.45","19,193.90","19,270.00","18,406.65",111120000,-2.74%,"7,074.35","7,565.35","7,567.05","7,017.00",1280000000,-6.03%,"15,104.90","15,893.60","15,901.35","14,825.10",1000000,-4.36%
12-05-2024,"22,466.10","22,027.95","22,502.15","21,821.05",1350000000,1.86%,"48,115.65","47,389.80","48,188.65","46,983.25",925370000,1.46%,"55,064.70","55,386.95","55,525.90","54,159.35",140460000,-0.38%,"33,381.85","32,910.65","33,766.70","32,669.25",92470000,1.36%,"1,811.80","1,779.45","1,815.30","1,742.95",1000000,2.22%,"19,249.20","18,435.80","19,257.70","18,100.95",1000000,4.48%,"18,981.60","18,680.10","19,039.65","18,638.60",139460000,2.00%,"7,109.25","7,065.80","7,207.80","6,838.20",959070000,0.49%,"15,792.90","15,130.85","15,804.10","14,780.40",1000000,4.55%
19-05-2024,"22,957.10","22,404.55","23,026.40","22,404.55",1270000000,2.19%,"48,971.65","48,197.30","49,052.95","47,435.25",710320000,1.78%,"55,449.15","55,212.10","56,062.00","54,764.55",123390000,0.70%,"33,824.30","33,446.25","34,098.05","33,191.75",82260000,1.33%,"1,897.00","1,832.20","1,906.15","1,820.35",1000000,4.70%,"19,553.15","19,340.50","19,667.65","19,224.70",1000000,1.58%,"19,119.50","19,057.45","19,422.20","18,994.30",149690000,0.73%,"7,359.05","7,143.85","7,433.85","7,126.20",907540000,3.51%,"15,865.65","15,868.30","15,978.05","15,705.95",1000000,0.46%
26-05-2024,"22,530.70","23,038.95","23,110.80","22,417.00",1690000000,-1.86%,"48,983.95","49,105.90","49,688.85","48,313.60",1020000000,0.03%,"54,107.35","55,649.60","55,708.70","53,897.70",181680000,-2.42%,"32,386.10","33,914.45","34,227.05","32,280.80",186440000,-4.25%,"1,870.40","1,901.35","1,918.50","1,851.85",1000000,-1.40%,"19,308.75","19,642.00","19,717.40","19,123.10",1000000,-1.25%,"18,796.30","19,258.15","19,415.00","18,732.35",177210000,-1.69%,"7,386.00","7,387.55","7,520.70","7,225.60",1770000000,0.37%,"15,626.65","15,951.20","16,002.25","15,461.20",1000000,-1.51%
02-06-2024,"23,290.15","23,337.90","23,338.70","21,281.45",3170000000,3.37%,"49,803.20","50,889.85","51,133.20","46,077.85",2069999999,1.67%,"57,953.35","55,139.00","58,832.65","53,057.65",339390000,7.11%,"35,169.90","33,114.70","35,248.10","31,320.15",208350000,8.60%,"1,970.65","1,948.85","1,978.10","1,717.40",1000000,5.36%,"19,884.25","20,033.15","20,033.15","17,744.85",1000000,2.98%,"19,578.00","19,206.90","19,596.70","17,904.75",175880000,4.16%,"7,281.90","7,756.35","8,053.30","6,443.85",2810000000,-1.41%,"16,100.00","16,232.05","16,235.05","14,145.25",1000000,3.03%
09-06-2024,"23,465.60","23,319.15","23,490.40","23,206.65",1400000000,0.75%,"50,002.00","49,808.15","50,252.95","49,530.45",816640000,0.40%,"57,225.85","58,038.15","58,266.05","57,051.45",173090000,-1.26%,"34,598.55","35,140.45","35,167.75","34,360.65",154190000,-1.62%,"2,057.85","1,980.95","2,093.30","1,964.45",1000000,4.42%,"20,698.25","19,992.00","20,710.20","19,871.70",1000000,4.09%,"19,895.65","19,696.55","19,918.65","19,629.85",97410000,1.62%,"7,464.15","7,332.20","7,496.70","7,312.00",973440000,2.50%,"16,845.55","16,244.45","16,874.85","16,190.95",1000000,4.63%
16-06-2024,"23,501.10","23,570.80","23,667.10","23,398.20",1490000000,0.15%,"51,661.45","50,194.35","51,957.00","49,900.20",1150000000,3.32%,"55,990.10","57,370.85","57,490.65","55,906.65",142310000,-2.16%,"35,200.30","34,696.00","35,875.30","34,604.05",165290000,1.74%,"2,039.65","2,067.80","2,071.10","2,002.25",1000000,-0.88%,"20,735.25","20,784.40","20,890.70","20,504.05",1000000,0.18%,"19,528.40","19,907.50","19,927.90","19,477.70",104250000,-1.85%,"7,384.25","7,493.65","7,569.25","7,346.50",774640000,-1.07%,"17,046.55","16,966.05","17,168.75","16,784.55",1000000,1.19%
23-06-2024,"24,010.60","23,382.30","24,174.00","23,350.00",1700000000,2.17%,"52,342.25","51,280.25","53,180.75","51,138.90",1170000000,1.32%,"56,756.85","55,958.10","57,007.45","55,837.40",166370000,1.37%,"36,157.50","35,067.75","36,334.65","34,918.15",136260000,2.72%,"1,992.35","2,035.90","2,044.40","1,986.25",1000000,-2.32%,"20,831.95","20,700.20","20,922.90","20,550.00",1000000,0.47%,"19,731.55","19,511.85","19,797.90","19,414.90",121470000,1.04%,"7,365.95","7,332.60","7,508.75","7,246.45",1040000000,-0.25%,"17,111.05","17,003.35","17,219.05","16,882.75",1000000,0.38%
30-06-2024,"24,323.85","23,992.95","24,401.00","23,992.70",1390000000,1.30%,"52,660.35","52,351.15","53,357.70","51,996.65",1030000000,0.61%,"57,673.00","56,745.50","57,737.75","56,473.95",123330000,1.61%,"37,720.75","36,103.00","37,935.10","36,085.45",152910000,4.32%,"2,047.55","1,999.05","2,078.15","1,998.05",1000000,2.77%,"21,352.50","20,898.35","21,369.05","20,792.65",1000000,2.50%,"20,453.85","19,794.85","20,516.10","19,660.95",144530000,3.66%,"7,356.75","7,370.65","7,376.60","7,157.80",707950000,-0.12%,"17,712.30","17,190.65","17,749.10","17,176.05",1000000,3.51%
07-07-2024,"24,502.15","24,329.45","24,592.20","24,141.80",1440000000,0.73%,"52,278.90","52,533.10","52,794.55","51,749.45",840370000,-0.72%,"59,725.75","57,888.45","59,885.40","57,748.95",196040000,3.56%,"39,023.00","37,766.00","39,237.70","37,108.35",160850000,3.45%,"2,074.15","2,051.35","2,091.10","1,983.30",1000000,1.30%,"21,300.25","21,428.25","21,453.80","20,855.40",1000000,-0.24%,"20,612.65","20,493.20","20,804.25","20,283.00",96890000,0.78%,"7,203.00","7,326.80","7,396.05","7,154.95",858960000,-2.09%,"17,679.20","17,806.20","17,855.05","17,249.35",1000000,-0.19%
14-07-2024,"24,530.90","24,587.60","24,854.80","24,504.45",1280000000,0.12%,"52,265.60","52,330.05","52,782.75","52,146.30",618530000,-0.03%,"61,087.90","59,805.15","61,491.40","59,603.20",148250000,2.28%,"39,923.30","39,432.10","40,682.70","38,730.55",162900000,2.31%,"1,962.95","2,084.75","2,124.15","1,958.25",1000000,-5.36%,"20,812.25","21,395.15","21,554.45","20,770.05",1000000,-2.29%,"20,425.40","20,705.80","20,960.30","20,398.45",72670000,-0.91%,"7,302.60","7,233.30","7,498.80","7,209.35",1210000000,1.38%,"17,163.40","17,766.65","17,885.75","17,140.90",1000000,-2.92%
21-07-2024,"24,834.85","24,445.75","24,861.15","24,074.20",1900000000,1.24%,"51,295.95","52,145.60","52,547.55","50,438.30",1080000000,-1.86%,"62,728.80","60,968.25","62,928.60","60,743.70",265390000,2.69%,"40,977.35","39,664.85","41,073.65","39,081.30",179830000,2.64%,"2,075.65","1,936.75","2,093.65","1,887.45",1000000,5.74%,"21,442.40","20,740.80","21,463.05","20,264.90",1000000,3.03%,"21,603.10","20,319.70","21,703.30","20,275.25",127780000,5.77%,"7,270.65","7,265.40","7,380.70","7,039.20",984340000,-0.44%,"17,647.40","17,029.55","17,676.15","16,520.50",1000000,2.82%
28-07-2024,"24,717.70","24,943.30","25,078.30","24,686.85",1850000000,-0.47%,"51,350.15","51,546.65","52,340.25","51,087.85",1290000000,0.11%,"61,745.15","63,016.45","63,084.30","61,632.85",177360000,-1.57%,"39,730.30","41,220.75","41,381.10","39,662.65",94730000,-3.04%,"2,100.30","2,083.05","2,169.25","2,082.20",1000000,1.19%,"21,492.25","21,606.50","21,969.40","21,387.25",1000000,0.23%,"21,902.85","21,701.55","22,005.10","21,474.75",128009999,1.39%,"7,197.50","7,370.85","7,542.55","7,154.75",1050000000,-1.01%,"17,677.65","17,790.90","18,049.80","17,551.25",1000000,0.17%
04-08-2024,"24,367.50","24,302.85","24,419.75","23,893.70",1640000000,-1.42%,"50,484.50","50,586.25","50,747.55","49,659.05",836570000,-1.69%,"62,157.35","60,877.25","62,545.60","60,818.80",176680000,0.67%,"39,043.30","38,822.55","39,427.10","37,829.10",106010000,-1.73%,"2,101.65","2,061.60","2,109.60","1,993.70",1000000,0.06%,"21,151.35","20,917.25","21,233.65","20,555.95",1000000,-1.59%,"22,209.55","21,526.80","22,301.05","21,501.80",141530000,1.40%,"6,994.45","7,037.15","7,057.50","6,795.15",886630000,-2.82%,"17,335.90","17,193.70","17,432.40","16,839.10",1000000,-1.93%
11-08-2024,"24,541.15","24,320.05","24,563.90","24,099.70",1090000000,0.71%,"50,516.90","50,412.60","50,830.70","49,654.65",580310000,0.06%,"62,213.00","61,840.25","62,303.45","61,092.25",107290000,0.09%,"40,878.25","39,038.95","40,927.15","38,747.85",83850000,4.70%,"2,059.65","2,090.90","2,097.70","2,012.15",1000000,-2.00%,"21,298.35","21,089.75","21,318.35","20,842.20",1000000,0.69%,"22,106.50","22,209.05","22,326.55","21,933.70",108680000,-0.46%,"6,843.80","6,961.20","6,982.55","6,754.90",449480000,-2.15%,"17,371.40","17,308.70","17,490.65","16,969.65",1000000,0.20%
18-08-2024,"24,823.15","24,636.35","24,867.35","24,522.95",1170000000,1.15%,"50,933.45","50,683.55","51,117.85","50,283.55",661810000,0.82%,"63,409.25","62,433.25","63,700.75","61,996.60",126120000,1.92%,"41,089.85","40,940.90","41,834.00","40,736.55",79520000,0.52%,"2,068.95","2,078.65","2,117.85","2,064.75",1000000,0.45%,"21,645.65","21,413.35","21,809.10","21,302.50",1000000,1.63%,"22,527.85","22,200.90","22,661.00","22,124.70",90910000,1.91%,"7,017.70","6,882.00","7,082.90","6,877.35",517390000,2.54%,"18,006.55","17,497.70","18,096.05","17,484.50",1000000,3.66%
25-08-2024,"25,235.90","24,906.10","25,268.35","24,874.70",1650000000,1.66%,"51,351.00","51,100.65","51,466.55","50,938.10",962030000,0.82%,"63,059.75","63,480.00","63,805.95","62,563.55",158620000,-0.55%,"42,787.80","41,343.45","42,913.95","41,319.05",143320000,4.13%,"2,104.50","2,087.60","2,174.55","2,060.05",1000000,1.72%,"21,925.45","21,746.75","21,956.35","21,618.05",1000000,1.29%,"23,217.60","22,520.65","23,275.50","22,437.15",156950000,3.06%,"6,985.80","7,045.45","7,053.50","6,910.65",455420000,-0.45%,"18,170.25","18,129.00","18,316.25","18,005.90",1000000,0.91%
