Date,Price_Nifty50,Open_Nifty50,High_Nifty50,Low_Nifty50,Vol_Nifty50,Change_Nifty50,Price_NiftyBank,Open_NiftyBank,High_NiftyBank,Low_NiftyBank,Vol_NiftyBank,Change_NiftyBank,Price_NiftyFMCG,Open_NiftyFMCG,High_NiftyFMCG,Low_NiftyFMCG,Vol_NiftyFMCG,Change_NiftyFMCG,Price_NiftyIT,Open_NiftyIT,High_NiftyIT,Low_NiftyIT,Vol_NiftyIT,Change_NiftyIT,Price_NiftyMedia,Open_NiftyMedia,High_NiftyMedia,Low_NiftyMedia,Vol_NiftyMedia,Change_NiftyMedia,Price_NiftyMidcap,Open_NiftyMidcap,High_NiftyMidcap,Low_NiftyMidcap,Vol_NiftyMidcap,Change_NiftyMidcap,Price_NiftyPharma,Open_NiftyPharma,High_NiftyPharma,Low_NiftyPharma,Vol_NiftyPharma,Change_NiftyPharma,Price_NiftyPSU,Open_NiftyPSU,High_NiftyPSU,Low_NiftyPSU,Vol_NiftyPSU,Change_NiftyPSU,Price_NiftySmallcap,Open_NiftySmallcap,High_NiftySmallcap,Low_NiftySmallcap,Vol_NiftySmallcap,Change_NiftySmallcap
08-10-2023,"19,751.05","19,539.45","19,843.30","19,480.50",1070000000,0.50%,"44,287.95","44,057.80","44,710.55","43,796.75",833350000,-0.16%,"52,520.70","51,333.70","52,655.75","51,188.35",90020000,1.83%,"31,807.95","32,216.15","32,981.90","31,434.10",122660000,-1.65%,"2,319.85","2,265.00","2,359.55","2,225.30",1000000,1.45%,"15,141.35","14,926.30","15,205.25","14,832.75",1000000,0.52%,"15,235.05","15,002.70","15,269.65","14,993.05",67680000,0.70%,"5,048.95","5,142.40","5,198.85","5,031.70",1240000000,-3.24%,"12,407.45","12,183.05","12,469.70","12,077.40",1000000,0.74%
15-10-2023,"19,542.65","19,737.25","19,849.75","19,512.35",994410000,-1.06%,"43,723.05","44,204.75","44,589.85","43,558.10",787130000,-1.28%,"51,823.35","52,468.95","52,851.45","51,762.45",110050000,-1.33%,"31,469.35","31,831.05","31,949.75","31,345.55",92380000,-1.06%,"2,304.10","2,326.80","2,343.20","2,298.35",1000000,-0.68%,"14,963.10","15,166.20","15,274.10","14,923.95",1000000,-1.18%,"15,107.15","15,230.00","15,394.15","15,070.05",95740000,-0.84%,"4,950.20","5,043.10","5,145.20","4,930.10",1080000000,-1.96%,"12,400.30","12,441.00","12,590.45","12,380.30",1000000,-0.06%
22-10-2023,"19,047.25","19,521.60","19,556.85","18,837.85",906890000,-2.53%,"42,782.00","43,822.70","43,831.30","42,105.40",910620000,-2.15%,"51,395.00","51,771.70","51,956.50","50,607.00",98860000,-0.83%,"30,599.70","31,358.45","31,456.10","30,054.20",73330000,-2.76%,"2,180.50","2,307.20","2,308.80","2,092.25",1000000,-5.36%,"14,513.70","14,972.95","14,999.80","14,133.30",1000000,-3.00%,"14,738.50","15,060.70","15,218.00","14,544.25",86160000,-2.44%,"4,920.55","4,956.25","4,977.50","4,641.00",1710000000,-0.60%,"12,024.90","12,442.40","12,456.10","11,493.75",1000000,-3.03%
29-10-2023,"19,230.60","19,053.40","19,276.25","18,940.00",1020000000,0.96%,"43,318.25","42,721.40","43,416.10","42,390.50",760380000,1.25%,"51,901.50","51,330.15","51,984.60","50,951.95",103360000,0.99%,"30,779.95","30,627.90","30,924.85","30,283.15",58360000,0.59%,"2,266.75","2,185.05","2,277.40","2,153.45",1000000,3.96%,"14,819.10","14,547.65","14,841.25","14,403.00",1000000,2.10%,"14,882.35","14,786.65","14,960.05","14,629.20",79810000,0.98%,"5,055.35","4,941.45","5,082.45","4,872.70",1090000000,2.74%,"12,253.60","12,068.30","12,273.45","11,937.15",1000000,1.90%
05-11-2023,"19,425.35","19,345.85","19,464.40","19,309.70",934950000,1.01%,"43,820.10","43,627.75","43,908.70","43,283.85",710390000,1.16%,"52,076.05","52,035.40","52,562.50","51,689.05",90590000,0.34%,"30,639.05","30,955.35","31,128.90","30,504.10",63070000,-0.46%,"2,232.45","2,276.90","2,298.40","2,216.90",1000000,-1.51%,"15,199.15","14,917.00","15,212.90","14,887.90",1000000,2.56%,"15,516.50","14,934.45","15,574.95","14,929.85",106090000,4.26%,"5,025.50","5,071.45","5,077.65","4,979.15",752740000,-0.59%,"12,547.05","12,354.35","12,581.20","12,333.80",1000000,2.39%
12-11-2023,"19,731.80","19,486.75","19,875.25","19,414.75",1000000000,1.58%,"43,583.95","44,054.50","44,420.95","43,513.85",770400000,-0.54%,"52,756.10","52,376.10","52,809.75","51,917.65",78670000,1.31%,"32,191.35","30,852.15","32,453.65","30,572.95",78660000,5.07%,"2,275.90","2,244.05","2,299.05","2,225.60",1000000,1.95%,"15,586.10","15,322.40","15,601.75","15,223.15",1000000,2.55%,"15,804.50","15,576.45","15,821.25","15,430.40",83440000,1.86%,"5,064.95","5,065.15","5,257.50","5,009.85",968970000,0.79%,"12,976.90","12,684.55","13,023.70","12,631.40",1000000,3.43%
19-11-2023,"19,794.70","19,731.15","19,875.15","19,670.50",869170000,0.32%,"43,769.10","43,591.50","43,806.50","43,230.95",552510000,0.42%,"52,576.90","52,842.10","52,958.10","52,312.30",68090000,-0.34%,"32,055.15","32,202.30","32,688.00","32,010.00",64800000,-0.42%,"2,283.45","2,282.40","2,310.10","2,258.25",1000000,0.33%,"15,673.50","15,628.40","15,708.30","15,511.00",1000000,0.56%,"15,954.50","15,809.45","16,175.25","15,782.95",104360000,0.95%,"4,977.20","5,077.70","5,118.25","4,972.65",490580000,-1.73%,"12,984.95","13,024.35","13,079.55","12,853.90",1000000,0.06%
26-11-2023,"20,267.90","19,844.65","20,291.55","19,800.00",1220000000,2.39%,"44,814.20","43,851.55","44,951.10","43,739.80",851680000,2.39%,"53,851.45","52,670.20","53,917.50","52,402.40",117620000,2.42%,"32,598.70","32,115.85","32,729.80","31,807.85",86020000,1.70%,"2,355.65","2,291.45","2,375.50","2,266.65",1000000,3.16%,"16,104.80","15,733.90","16,127.95","15,680.75",1000000,2.75%,"16,257.05","15,980.80","16,385.35","15,884.35",85550000,1.90%,"5,134.55","4,990.45","5,182.90","4,972.75",693760000,3.16%,"13,326.60","13,059.85","13,381.20","13,001.40",1000000,2.63%
03-12-2023,"20,969.40","20,601.95","21,006.10","20,507.75",1730000000,3.46%,"47,262.00","45,671.50","47,303.65","45,484.20",1310000000,5.46%,"53,636.35","54,313.60","54,872.90","53,568.60",137960000,-0.40%,"33,392.90","32,888.20","33,452.40","32,252.45",103620000,2.44%,"2,396.00","2,376.80","2,443.25","2,286.90",1000000,1.71%,"16,447.95","16,362.00","16,560.65","16,214.40",1000000,2.13%,"16,163.15","16,372.05","16,389.10","16,079.30",87560000,-0.58%,"5,479.45","5,269.10","5,529.85","5,262.00",1590000000,6.72%,"13,470.80","13,559.40","13,653.30","13,396.55",1000000,1.08%
10-12-2023,"21,456.65","20,965.30","21,492.30","20,769.50",1560000000,2.32%,"48,143.55","47,233.30","48,219.95","46,886.90",1070000000,1.87%,"54,186.20","53,790.45","54,585.75","53,558.80",117030000,1.03%,"35,782.45","33,424.00","35,947.60","32,715.65",171090000,7.16%,"2,437.05","2,412.65","2,484.50","2,381.05",1000000,1.71%,"16,850.05","16,502.20","16,916.50","16,410.20",1000000,2.44%,"16,179.80","16,077.90","16,258.30","15,909.55",99850000,0.10%,"5,762.60","5,495.95","5,772.95","5,494.10",1390000000,5.17%,"13,820.45","13,530.75","13,852.95","13,493.15",1000000,2.60%
